ACTUAL,pr_out1,pr_out2,pr_out3,pr_out4,pr_out5,pr_out6,pr_out7,pr_out8,pr_out9,pr_out10,average output,error,% error
71,84,84,84,84,84,84,84,84,84,84,84,0.183098592,18.30985915
75,77,78,77,77,78,77,77,78,78,77,77.4,0.032,3.2
76,76,76,76,76,76,76,76,76,76,76,76,0,0
78,86,86,86,86,86,86,86,82,86,86,85.6,0.097435897,9.743589744
76,81,81,81,81,81,81,81,81,81,81,81,0.065789474,6.578947368
74,84,84,84,84,84,84,84,84,84,84,84,0.135135135,13.51351351
76,86,86,86,86,88,86,86,86,86,86,86.2,0.134210526,13.42105263
79,84,84,84,84,84,84,84,86,84,84,84.2,0.065822785,6.582278481
82,75,76,72,76,76,76,75,75,76,72,74.9,0.086585366,8.658536585
83,77,77,77,77,77,77,77,77,77,77,77,0.072289157,7.228915663
84,88,88,88,88,88,88,88,88,88,88,88,0.047619048,4.761904762
81,73,73,73,73,73,73,73,73,73,73,73,0.098765432,9.87654321
85,89,88,89,89,88,89,88,88,88,88,88.4,0.04,4
83,84,81,81,84,84,81,81,81,81,84,82.2,0.009638554,0.963855422
78,73,74,74,73,73,72,74,74,72,72,73.1,0.062820513,6.282051282
81,80,80,80,80,80,80,80,80,80,80,80,0.012345679,1.234567901
82,81,81,81,81,81,81,81,81,81,81,81,0.012195122,1.219512195
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
83,70,70,70,66,66,66,66,66,66,66,67.2,0.190361446,19.03614458
82,90,90,90,91,90,90,91,91,91,90,90.4,0.102439024,10.24390244
83,80,81,81,80,84,80,80,80,84,80,81,0.024096386,2.409638554
83,84,84,84,84,84,84,84,84,84,84,84,0.012048193,1.204819277
78,86,88,86,86,86,86,88,86,86,86,86.4,0.107692308,10.76923077
81,88,88,88,88,88,88,88,88,88,88,88,0.086419753,8.641975309
83,76,78,78,76,76,76,76,78,76,78,76.8,0.074698795,7.469879518
83,84,84,84,84,84,84,84,84,84,84,84,0.012048193,1.204819277
82,90,90,90,90,90,90,90,90,90,90,90,0.097560976,9.756097561
76,64,64,73,75,75,75,73,75,73,75,72.2,0.05,5
78,81,80,80,81,81,81,81,81,80,81,80.7,0.034615385,3.461538462
78,84,84,84,84,84,84,84,84,84,84,84,0.076923077,7.692307692
82,82,82,82,82,82,83,82,82,82,82,82.1,0.001219512,0.12195122
81,90,90,90,90,90,90,90,90,90,90,90,0.111111111,11.11111111
80,81,81,81,81,81,81,81,81,81,81,81,0.0125,1.25
78,88,88,88,88,88,88,88,88,88,88,88,0.128205128,12.82051282
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
